user_id,user_type,is_logged_in,country,city
U_000000,returning,True,India,Bangalore
U_000001,subscriber,True,India,Lucknow
U_000002,new,False,India,Mumbai
U_000003,new,False,India,Mumbai
U_000004,returning,False,India,Mumbai
U_000005,new,False,India,Kolkata
U_000006,new,True,India,Bangalore
U_000007,new,False,India,Ahmedabad
U_000008,new,False,India,Mumbai
U_000009,subscriber,True,India,Kolkata
U_000010,new,False,Canada,Lake Donald
U_000011,new,True,India,Ahmedabad
U_000012,returning,False,India,Kolkata
U_000013,new,False,India,Chennai
U_000014,returning,True,Canada,Johnsonland
U_000015,returning,False,India,Jaipur
U_000016,new,False,India,Lucknow
U_000017,new,False,India,Mumbai
U_000018,new,False,India,Delhi
U_000019,new,False,India,Delhi
U_000020,new,False,India,Ahmedabad
U_000021,new,False,India,Kolkata
U_000022,new,False,India,Lucknow
U_000023,subscriber,True,India,Hyderabad
U_000024,new,False,India,Mumbai
U_000025,returning,False,India,Lucknow
U_000026,new,False,India,Jaipur
U_000027,returning,True,India,Jaipur
U_000028,new,False,India,Kolkata
U_000029,new,False,India,Kolkata
U_000030,new,False,India,Jaipur
U_000031,returning,False,India,Chennai
U_000032,new,False,India,Delhi
U_000033,new,True,Canada,Phillipston
U_000034,new,False,India,Pune
U_000035,new,False,India,Hyderabad
U_000036,returning,False,India,Delhi
U_000037,new,False,India,Pune
U_000038,returning,False,India,Lucknow
U_000039,new,False,India,Hyderabad
U_000040,new,False,India,Pune
U_000041,subscriber,True,India,Bangalore
U_000042,new,False,India,Chennai
U_000043,returning,False,India,Lucknow
U_000044,new,False,India,Jaipur
U_000045,new,False,India,Mumbai
U_000046,new,False,India,Jaipur
U_000047,new,False,India,Chennai
U_000048,returning,True,India,Bangalore
U_000049,new,False,India,Pune
U_000050,new,False,India,Pune
U_000051,new,False,India,Chennai
U_000052,new,False,India,Ahmedabad
U_000053,new,False,India,Mumbai
U_000054,returning,False,India,Pune
U_000055,new,False,India,Hyderabad
U_000056,new,False,UK,Prestonshire
U_000057,returning,False,India,Mumbai
U_000058,new,False,India,Mumbai
U_000059,returning,False,India,Bangalore
